							Cluster-based matching	Cell-based matching					Cluster size comparison																	Biomarker-based inference																
21	19	10	Endothelial	Lymphatic EC	Lymphatic EC mature	Lymphatic endothelial cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	4001	3366	1.19	0.88	0.89	580504	439	537	3464	1	0.92	0.94	344413	191	462	2904	1	['CCL21']	['CCL21']	"['TM4SF18', 'VPS35L', 'CCL21', 'MMRN1', 'SNCG', 'PPFIBP1', 'NRP2', 'AKAP12', 'PDPN', 'GNG11']"	"['CCL21', 'PKHD1L1', 'SEMA3D', 'LYVE1', 'SEMA3A', 'PROX1', 'MMRN1', 'PPFIBP1', 'AKAP12', 'PDPN']"	"[AKAP12, PDPN, MMRN1, CCL21, PPFIBP1]"	5		Lymphatic EC cell mature	skos:exactMatch	endothelial cell of lymphatic vessel	http://purl.obolibrary.org/obo/CL_0002138	"A endothelial cell of a lymphatic vessel. The border of the oak leaf-shaped endothelial cell of initial lymphatics are joined by specialized buttons. The discontinuous feature of buttons distinguishes them from zippers in collecting lymphatics, but both types of junctions are composed of proteins typical of adherens junctions and tight junctions found in the endothelium of blood vessels. Buttons seal the sides of flaps of the oak leaf-shaped endothelial cell, leaving open the tips of flaps as routes for fluid entry without disassembly and reformation of intercellular junctions."	These cells selectively express the CCL21 transcript in human lung.				
23	20	11	Stromal	Fibroblast	Mesothelium	Mesothelial cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	230	106	2.17	0.89	0.98	584711	3	82	148	2	0.88	1.00	347864	0	42	64	2	"['CALB2', 'PRG4']"	"['CALB2', 'UPK3B']"	"['ITLN1', 'CALB2', 'PRG4', 'CFB', 'TFPI2', 'UPK3B', 'HP', 'MSLN', 'PLA2G2A', 'CLDN1']"	"['CALB2', 'HP', 'ITLN1', 'UPK3B', 'PRG4', 'C4B', 'WT1', 'TFPI2', 'PLA2G2A', 'MSLN']"	"['PLA2G2A', 'TFPI2', 'MSLN', 'UPK3B', 'PRG4', 'ITLN1', 'HP', 'CALB2']"	8		Mesothelium	skos:exactMatch	mesothelial cell	http://purl.obolibrary.org/obo/CL_0000077	A flattened epithelial cell of mesenchymal origin that lines the serous cavity.	These cells selectively express the combination of CALB2 and PRG4 transcripts in human lung.				
24	21	12	Stromal	Fibroblast	Adventitial fibroblasts	Alveolar fibroblast 2	Y	Y	Y	Y	Y	HLCA2CellRef_Match	10321	2670	3.87	0.85	0.93	574158	465	3873	6448	2	0.81	0.99	345287	13	1417	1253	2	"['SCARA5', 'CD248']"	"['MFAP5', 'FBLN2']"	"['SCARA5', 'MFAP5', 'PODN', 'FBN1', 'PI16', 'CD248', 'SFRP2', 'FBLN2', 'OGN', 'MEDAG']"	"['MFAP5', 'SCARA5', 'PI16', 'FBLN2', 'SFRP2', 'IGFBP6', 'FBLN1', 'CFD', 'PLA2G2A', 'CCDC80']"	"[SFRP2, PI16, MFAP5, FBLN2, SCARA5]"	5		Adventitial fibroblasts	skos:relatedMatch	alveolar type 2 fibroblast cell	http://purl.obolibrary.org/obo/CL_4028006	A pulmonary interstitial fibroblast that is part of the alveolus and localizes to vascular adventitia.					
27	22	13	Stromal	Myofibroblast	Alveolar fibroblasts	Alveolar fibroblast 1	Y	Y	Y	Y	Y	HLCA2CellRef_Match	5182	5445	0.95	0.70	0.86	579441	321	3128	2054	2	0.78	0.96	342410	115	2957	2488	2	"['AOC3', 'LUM']"	"['SCN7A', 'ITGA8']"	"['SCN7A', 'GPC3', 'ANGPT1', 'TCF21', 'AOC3', 'LUM', 'MACF1', 'CCN1', 'ADH1B', 'MFAP4']"	"['SCN7A', 'GPC3', 'SVEP1', 'PLEKHH2', 'ITGA8', 'ROBO2', 'CDH11', 'MYH10', 'SLIT2', 'FBLN1']"	"[GPC3, SCN7A]"	2		Alveolar fibroblasts	skos:relatedMatch	alveolar type 1 fibroblast cell	http://purl.obolibrary.org/obo/CL_4028004	A pulmonary interstitial fibroblast that is part of the alveolus and contains lipid droplets.					
30	25	14	Stromal	Smooth muscle	Pericytes	Pericyte	Y	Y	Y	Y	Y	HLCA2CellRef_Match	3032	2510	1.21	0.84	0.95	581811	101	1259	1773	2	0.86	0.99	345440	20	1101	1409	2	"['HIGD1B', 'KCNK3']"	"['HIGD1B', 'KCNK3']"	"['LAMC3', 'HIGD1B', 'NDUFA4L2', 'FAM162B', 'RGN', 'KCNK3', 'COX4I2', 'COL4A1', 'PTN', 'COL4A2']"	"['HIGD1B', 'LAMC3', 'KCNK3', 'NDUFA4L2', 'RGN', 'FAM162B', 'EGFL6', 'PTN', 'MEST', 'COL4A1']"	"['FAM162B', 'COL4A1', 'LAMC3', 'PTN', 'KCNK3', 'RGN', 'NDUFA4L2', 'HIGD1B']"	8		Pericytes	skos:exactMatch	lung pericyte	http://purl.obolibrary.org/obo/CL_0009089	"A pericyte cell that is part of a lung.  (Pericyte - An elongated, contractile cell found wrapped about precapillary arterioles outside the basement membrane. Pericytes are present in capillaries where proper adventitia and muscle layer are missing (thus distingushing this cell type from adventitial cells). They are relatively undifferentiated and may become fibroblasts, macrophages, or smooth muscle cells.)"	These cells selectively express the combination of HIGD1B and KCNK3 transcripts in human lung.				
31	26	15	Stromal	Smooth muscle	Smooth muscle cell	Vascular smooth muscle cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	2996	2916	1.03	0.69	0.69	580989	959	886	2110	2	0.79	0.86	344767	287	1161	1755	2	"['ACTA2', 'TAGLN']"	"['PLN', 'MYH11']"	"['LMOD1', 'ACTG2', 'CNN1', 'MYH11', 'ACTA2', 'TAGLN', 'PPP1R14A', 'PLAC9', 'MYL9', 'TPM2']"	"['RERGL', 'PLN', 'DES', 'LMOD1', 'MYH11', 'ACTG2', 'CNN1', 'PLAC9', 'ACTA2', 'TAGLN']"	"[CNN1, ACTA2, TAGLN, MYH11, PLAC9, LMOD1, ACTG2]"	7		Smooth muscle cell	skos:relatedMatch	tracheobronchial smooth muscle cell	http://purl.obolibrary.org/obo/CL_0019019						
33	28	16	Endothelial	Blood vessel EC	EC venous systemic	Systemic venous endothelial cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	6557	4609	1.42	0.63	0.72	577277	1110	3765	2792	2	0.71	0.88	343111	250	2755	1854	2	"['PLVAP', 'EMCN']"	"['PLVAP', 'CD34']"	"['PLVAP', 'ADGRL4', 'ACKR1', 'EMCN', 'SNCG', 'VWF', 'DUSP23', 'GNG11', 'SPARCL1', 'EPAS1']"	"['PLVAP', 'CD34', 'ADGRL4', 'NRN1', 'DIPK2B', 'ACKR1', 'SNCG', 'VWF', 'DUSP23', 'EPAS1']"	"[DUSP23, ACKR1, PLVAP, SNCG, VWF, EPAS1, ADGRL4]"	7		EC venous systemic	skos:relatedMatch	vein endothelial cell	http://purl.obolibrary.org/obo/CL_0002543	An endothelial cell that is part of the vein.					
34	29	17	Endothelial	Blood vessel EC	EC arterial	Arterial endothelial cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	7391	4034	1.83	0.71	0.81	576705	848	3855	3536	1	0.84	0.98	343883	53	1886	2148	2	['DKK2']	"['DKK2', 'GJA5']"	"['DKK2', 'GJA5', 'HEY1', 'EFNB2', 'IGFBP3', 'CXCL12', 'FAM107A', 'PTPRB', 'SRPX', 'TMEM100']"	"['DKK2', 'GJA5', 'CXCL12', 'ENPP2', 'THSD7A', 'SOX17', 'EFNB2', 'HEY1', 'IGFBP3', 'SERPINE2']"	"[HEY1, GJA5, DKK2, CXCL12, IGFBP3, EFNB2]"	6		EC arterial	skos:relatedMatch	pulmonary artery endothelial cell	http://purl.obolibrary.org/obo/CL_1001568	No definition in CL					
35	30	18	Endothelial	Blood vessel EC	EC venous pulmonary	Venous endothelial cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	6418	4776	1.34	0.74	0.79	577576	950	2762	3656	2	0.68	0.85	342882	312	2994	1782	2	"['ACKR1', 'SRPX']"	"['CCL23', 'SRPX']"	"['PLA1A', 'CCL23', 'RGS5_ENSG00000143248', 'PLAT', 'ACKR1', 'SRPX', 'PTPRB', 'SLCO2A1', 'VWF', 'RAMP3']"	"['CCL23', 'PLA1A', 'ADGRG6', 'SELP', 'IL1R1', 'SRPX', 'ACKR1', 'MMRN1', 'C7', 'PTPRB']"	"[PLA1A, PTPRB, SRPX, ACKR1, CCL23]"	5		EC venous pulmonary	skos:exactMatch	vein endothelial cell of respiratory system	http://purl.obolibrary.org/obo/CL_4033008	A(n) vein endothelial cell that is part of a(n) respiratory system.	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
37	31	19	Endothelial	Capillary EC	EC aerocyte capillary	Capillary 2 cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	7157	7047	1.02	0.83	0.85	576783	1004	1543	5614	1	0.85	0.96	340759	164	2923	4124	2	['EDNRB']	"['EDNRB', 'EMCN']"	"['SOSTDC1', 'S100A3', 'B3GALNT1', 'PRX', 'FRY', 'EDNRB', 'IL1RL1', 'EMCN', 'CA4', 'ICAM2']"	"['EDNRB', 'SOSTDC1', 'S100A3', 'B3GALNT1', 'EMCN', 'IL1RL1', 'CA4', 'HPGD', 'ICAM2', 'AQP1']"	"['EMCN', 'CA4', 'IL1RL1', 'SOSTDC1', 'ICAM2', 'B3GALNT1', 'S100A3', 'EDNRB']"	8		EC aerocyte capillary	skos:relatedMatch	alveolar capillary type 2 endothelial cell	http://purl.obolibrary.org/obo/CL_4028003	An alveolar capillary endothelial cell that is located proximally to alveolar capillary type 1 endothelial cells and in close apposition to alveolar type 1 epithelial cells (also known as type I pneumocytes).					
38	32	20	Endothelial	Capillary EC	EC general capillary	Capillary 1 cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	16048	15066	1.07	0.78	0.88	567666	1230	7307	8741	2	0.80	0.89	331849	1055	6600	8466	2	"['FCN3', 'CA4']"	"['CA4', 'FCN3']"	"['SLC6A4', 'BTNL9', 'FCN3', 'CA4', 'CD36', 'TMEM100', 'RAMP3', 'IL7R', 'HYAL2', 'RAMP2']"	"['SLC6A4', 'BTNL9', 'CD36', 'CA4', 'FCN3', 'NOSTRIN', 'NOTCH4', 'TMEM100', 'PTPRB', 'VWF']"	"[CD36, FCN3, CA4, SLC6A4, TMEM100, BTNL9]"	6		EC general capillary	skos:relatedMatch	alveolar capillary type 1 endothelial cell	http://purl.obolibrary.org/obo/CL_4028002	An alveolar capillary endothelial cell that is located distally to alveolar capillary type 2 endothelial cells.					
39	34	21	Epithelial	Airway epithelium	Suprabasal	Suprabasal cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	41158	20167	2.04	0.62	0.69	535679	8107	22799	18359	3	0.78	0.88	326359	1444	9309	10858	2	"['TNC', 'KRT15', 'SERPINB4']"	"['CLCA2', 'UPK1B']"	"['SERPINB13', 'KRT6A', 'SERPINB5', 'TNC', 'KRT15', 'SERPINB4', 'KRT5', 'KRT17', 'CLCA2', 'S100A2']"	"['CLCA2', 'LY6D', 'SERPINB13', 'SERPINB4', 'GPX2', 'UPK1B', 'SERPINB5', 'ADH7', 'SERPINB3', 'RHOV']"	"[SERPINB4, CLCA2, SERPINB13, SERPINB5]"	4		Suprabasal	skos:exactMatch	respiratory suprabasal cell	http://purl.obolibrary.org/obo/CL_4033048	"A respiratory epithelial cell with topographic nuclear position in between the basal and luminal cell of the airway epithelium. This non-basal, intermediate cell has limited proliferative capacity, ultrastructural features of basal cells and no defined features of the typically differentiated cellular phenotypes.  In humans, respiratory suprabasal cells have been noted to have enriched expression of the following: CK8, KRT13, IVL, and SERPINB3."	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
45	38	22	Epithelial	Submucosal Gland	SMG serous (bronchial)	Serous cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	1417	4333	0.33	0.75	0.78	583256	271	470	947	2	0.84	0.92	343414	223	1685	2648	1	"['PRR4', 'C6orf58']"	['PRB3']	"['PRB3', 'LINC01829', 'PRR4', 'S100A1', 'C6orf58', 'PIP', 'APIP', 'LTF', 'SLC12A2', 'ZG16B']"	"['LPO', 'C6orf58', 'DMBT1', 'PRB3', 'AC020656.1', 'PRB4', 'PIP', 'S100A1', 'SERPINA3', 'LTF']"	"[PRB3, PIP, S100A1, C6orf58, LTF]"	5		SMG serous (bronchial)	skos:exactMatch	tracheobronchial serous cell	http://purl.obolibrary.org/obo/CL_0019001	Any serous secreting cell that is part of the tracheobronchial epithelium.	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
46	39	23	Epithelial	Alveolar epithelium	AT2	Alveolar type 2 cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	61429	59053	1.04	0.95	0.96	520799	2716	3702	57727	1	0.97	0.99	288424	493	7184	51869	2	['SFTPA1']	"['NAPSA', 'SFTPA1']"	"['PLA2G1B', 'LRRK2', 'ABCA3', 'PGC', 'PEBP4', 'SFTPA1', 'SFTPA2', 'SFTPD', 'LAMP3', 'NAPSA']"	"['NAPSA', 'SFTPD', 'LRRK2', 'PGC', 'ABCA3', 'SFTPA1', 'SFTPA2', 'PEBP4', 'WIF1', 'LAMP3']"	"['SFTPA1', 'SFTPA2', 'NAPSA', 'LAMP3', 'LRRK2', 'SFTPD', 'PGC', 'PEBP4', 'ABCA3']"	9		AT2	skos:exactMatch	type II pneumocyte	http://purl.obolibrary.org/obo/CL_0002063	"A type II pneumocyte is a pneumocyte that modulates the fluid surrounding the alveolar epithelium by secreting and recycling surfactants. This cell type also contributes to tissue repair and can differentiate after injury into a type I pneumocyte. Thicker than squamous alveolar cells, have a rounded apical surface that projects above the level of surrounding epithelium. The free surface is covered by short microvilli."	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
55	43	24	Epithelial	Club/Goblet	SMG duct	SMG Basal/Duct cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	1274	1009	1.26	0.46	0.55	583375	295	914	360	2	0.63	0.90	346927	34	717	292	2	"['GLYATL2', 'DMBT1']"	"['FOXQ1', 'MMP7']"	"['MIA', 'MMP7', 'GLYATL2', 'CCL28', 'DMBT1', 'PIP', 'LTF', 'TCN1', 'RARRES1', 'AZGP1']"	"['FOXQ1', 'MMP7', 'ANPEP', 'CFB', 'DEFB1', 'CCL28', 'PROM1', 'TCN1', 'MIA', 'RARRES1']"	"[MMP7, MIA, TCN1, RARRES1, CCL28]"	5		SMG duct	skos:relatedMatch	airway submucosal gland duct basal cell/airway submucosal gland duct ciliated cell	http://purl.obolibrary.org/obo/CL_4033024 http://purl.obolibrary.org/obo/CL_4033055	A basal cell that is part of a duct of an airway submucosal gland. / A ciliated cell that is part of a ciliated duct of an airway submucosal gland.					
56	44	25	Epithelial	AT1	AT1	Alveolar type 1 cell	Y	Y	Y	Y	Y	HLCA2CellRef_Match	7937	12039	0.66	0.85	0.86	575971	1036	1492	6445	1	0.87	0.91	334988	943	2877	9162	1	['AGER']	['RTKN2']	"['AGER', 'RTKN2', 'TNNC1', 'SCEL', 'ANKRD29', 'AQP4', 'UPK3B', 'GPRC5A', 'CEACAM6', 'HOPX']"	"['RTKN2', 'SCEL', 'AGER', 'ANKRD29', 'NCKAP5', 'CLIC5', 'COL4A3', 'ARHGEF26', 'NTM', 'LAMA3']"	"[ANKRD29, RTKN2, SCEL, AGER]"	4		AT1	skos:exactMatch	type I pneumocyte	http://purl.obolibrary.org/obo/CL_0002062	"A type I pneumocyte is a flattened, branched pneumocyte that covers more than 98% of the alveolar surface. This large cell has thin (50-100 nm) cytoplasmic extensions to form the air-blood barrier essential for normal gas exchange."	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
57	45	26	Epithelial	Ciliated	Ionocyte	Ionocyte	Y	Y	Y	Y	Y	HLCA2CellRef_Match	561	159	3.53	0.82	0.91	584353	30	241	320	2	0.94	1.00	347811	0	40	119	2	"['ASCL3', 'BSND']"	"['ASCL3', 'BSND']"	"['ASCL3', 'BSND', 'FOXI1', 'CLCNKB', 'ATP6V1G3', 'LINC01187', 'STAP1', 'DGKI', 'CFTR', 'CLCNKA']"	"['ASCL3', 'CLCNKB', 'LINC01187', 'BSND', 'ATP6V1G3', 'TMPRSS11E', 'CEL', 'BPIFA2', 'CLCNKA', 'STAP1']"	"['STAP1', 'CLCNKB', 'LINC01187', 'CLCNKA', 'ATP6V1G3', 'BSND', 'ASCL3']"	7		Ionocyte	skos:exactMatch	ionocyte	http://purl.obolibrary.org/obo/CL_0005006	"Specialized epithelial cells involved in the maintenance of osmotic homeostasis. They are characterized by abundant mitochondria and ion transporters. In amniotes, they are present in the renal system. In freshwater fish, ionocytes in the skin and gills help maintain osmotic homeostasis by absorbing salt from the external environment."	These cells selectively express the combination of TNIP3 and CXCL5 transcripts in human lung.				
